Oracion original,Label Original,Puntaje negativo,Puntaje positivo,Inferencia,Tiempo de ejecucion
downloading apps for my iphone so much fun there literally is an app for just about anything,1,0.0,0.183,Neutral,0.00030732154846191406
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,1,0.312,0.225,Neutral,0.00035500526428222656
awesome come back from via,1,0.0,0.506,Neutral,0.0001850128173828125
in montreal for a long weekend of r amp r much needed,1,0.0,0.0,Positive,0.00019860267639160156
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1,0.0,0.422,Neutral,0.0002734661102294922
mluc customer innovation award winner booz allen hamilton,1,0.0,0.664,Neutral,0.00022935867309570312
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,1,0.121,0.101,Neutral,0.0003094673156738281
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1,0.0,0.162,Neutral,0.00026607513427734375
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0,0.238,0.085,Neutral,0.00033020973205566406
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,0.098,0.0,Neutral,0.0003273487091064453
omg so bored amp my tattoooos are so itchy help aha,0,0.319,0.185,Neutral,0.0002493858337402344
i m itchy and miserable,0,0.841,0.0,Negativo,0.00016641616821289062
no i m not itchy for now maybe later lol,0,0.186,0.391,Neutral,0.000244140625
rt i love the nerdy stanford human biology videos makes me miss school,1,0.175,0.263,Neutral,0.0002760887145996094
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,0.178,0.145,Neutral,0.00035262107849121094
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,0.0,0.245,Neutral,0.0002570152282714844
is going to sleep then on a bike ride,1,0.0,0.0,Positive,0.00019788742065429688
cant sleep my tooth is aching,0,0.39,0.0,Negativo,0.00020623207092285156
blah blah blah same old same old no plans today going back to sleep i guess,0,0.368,0.0,Negativo,0.00026917457580566406
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,0.32,0.146,Neutral,0.0002791881561279297
obama administration must stop bonuses to aig ponzi schemers,0,0.172,0.281,Neutral,0.00026917457580566406
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,0.098,0.0,Neutral,0.0003554821014404297
shaunwoo hate n on aig,0,0.552,0.0,Negativo,0.00018072128295898438
you will not regret going to see star trek it was awesome,1,0.0,0.391,Neutral,0.00026106834411621094
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,0.13,0.0,Neutral,0.0002772808074951172
highly recommend by malcolm gladwell,1,0.0,0.411,Neutral,0.0001881122589111328
blink by malcolm gladwell amazing book and the tipping point,1,0.0,0.297,Neutral,0.00023102760314941406
malcolm gladwell might be my new man crush,1,0.186,0.0,Neutral,0.00022220611572265625
omg the commercials alone on espn are going to drive me nuts,0,0.301,0.0,Neutral,0.00025725364685058594
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,0.0,0.362,Neutral,0.0003211498260498047
hello twitter api,1,0.0,0.0,Positive,0.0001666545867919922
because the twitter api is slow and most client s aren t good,0,0.0,0.24,Neutral,0.0004029273986816406
yahoo answers can be a butt sometimes,0,0.0,0.0,Positive,0.0002014636993408203
is scrapbooking with nic d,1,0.0,0.0,Positive,0.0001690387725830078
rt five things wolfram alpha does better and vastly different than google,1,0.0,0.209,Neutral,0.0002384185791015625
just changed my default pic to a nike basketball cause bball is awesome,1,0.0,0.272,Neutral,0.00035762786865234375
rt was just told that nike layoffs started today,0,0.0,0.0,Positive,0.00021958351135253906
back when i worked for nike we had one fav word just do it,1,0.0,0.2,Neutral,0.00027108192443847656
by the way i m totally inspired by this freaky nike commercial,1,0.179,0.25,Neutral,0.0002262592315673828
class the d is supposed to come today,1,0.0,0.0,Positive,0.0002682209014892578
needs someone to explain lambda calculus to him,0,0.0,0.0,Positive,0.00026535987854003906
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,0.142,0.1,Neutral,0.0003330707550048828
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,0.092,0.197,Neutral,0.00035190582275390625
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,0.112,0.0,Neutral,0.00031113624572753906
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,0.0,0.402,Neutral,0.00030803680419921875
work til pm lets go lakers,1,0.0,0.0,Positive,0.00018095970153808594
damn you north korea,0,0.474,0.0,Negativo,0.0001728534698486328
can we just go ahead and blow north korea off the map already,0,0.0,0.0,Positive,0.00023174285888671875
north korea please cease this douchebaggery china doesn t even like you anymore,0,0.0,0.324,Neutral,0.0002567768096923828
why the hell is pelosi in freakin china and on whose dime,0,0.295,0.0,Neutral,0.0004355907440185547
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,0.184,0.0,Neutral,0.0002899169921875
insects have infected my spinach plant,0,0.39,0.0,Negativo,0.0001914501190185547
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,0.117,0.206,Neutral,0.00032711029052734375
just got back from church and i totally hate insects,0,0.333,0.0,Negativo,0.0002162456512451172
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,0.28,0.189,Neutral,0.0003685951232910156
omgg i ohhdee want mcdonalds damn i wonder if its open lol,1,0.196,0.297,Neutral,0.0002338886260986328
history exam studying ugh,0,0.483,0.0,Negativo,0.00018477439880371094
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,0.394,0.0,Negativo,0.0002777576446533203
higher physics exam tommorow not lookin forward to it much,0,0.0,0.0,Positive,0.0001995563507080078
it s a bank holiday yet i m only out of work now exam season sucks,0,0.164,0.178,Neutral,0.0002543926239013672
cheney and bush are the real culprits,0,0.0,0.0,Positive,0.00018024444580078125
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,0.401,0.0,Negativo,0.0002548694610595703
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,0.641,0.0,Negativo,0.00023674964904785156
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,0.245,0.099,Neutral,0.0003223419189453125
is twitter s connections api broken some tweets didn t make it to twitter,0,0.22,0.0,Neutral,0.0002415180206298828
i srsly hate the stupid twitter api timeout thing soooo annoying,0,0.583,0.0,Negativo,0.00022792816162109375
i really liked learning jquery book is worth a look too,1,0.0,0.416,Neutral,0.00023651123046875
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,0.0,0.166,Neutral,0.0002446174621582031
goodby silverstein agency new site great,1,0.0,0.451,Neutral,0.00019621849060058594
rt goodby silverstein s new site i enjoy it nice find,1,0.0,0.462,Neutral,0.0002281665802001953
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,0.0,0.267,Neutral,0.0002865791320800781
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,0.0,0.286,Neutral,0.0002727508544921875
zomg i have a g,1,0.0,0.0,Positive,0.0001475811004638672
ok so lots of buzz from io but how lucky are they a free g,1,0.0,0.494,Neutral,0.0002529621124267578
just got a free g android at google i o,1,0.0,0.398,Neutral,0.00019097328186035156
guess i ll be retiring my g and start using my developer g woot googleio,1,0.0,0.203,Neutral,0.0002288818359375
i am happy for philip being at googleio today,1,0.0,0.346,Neutral,0.00020122528076171875
lakers played great cannot wait for thursday night lakers vs,1,0.0,0.448,Neutral,0.00021338462829589844
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,0.127,0.258,Neutral,0.00028204917907714844
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0,0.149,0.0,Neutral,0.00028252601623535156
watching night at the museum lmao,1,0.0,0.438,Neutral,0.000194549560546875
i loved night at the museum,1,0.0,0.494,Neutral,0.00017952919006347656
just got back from the movies went to see the new night at the museum with rachel it was good,1,0.0,0.132,Neutral,0.0002689361572265625
i will take you on a date to see night at the museum whenever you want it looks soooooo good,1,0.0,0.208,Neutral,0.0002791881561279297
no watching the night at the museum getting really good,1,0.164,0.238,Neutral,0.00021529197692871094
night at the museum wolverine and junk food perfect monday,1,0.0,0.291,Neutral,0.0002200603485107422
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,0.05,0.388,Neutral,0.0003325939178466797
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,0.0,0.458,Neutral,0.0002980232238769531
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,0.098,0.088,Neutral,0.0003199577331542969
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,0.0,0.203,Neutral,0.00029206275939941406
oh yes but if gm dies it will only be worth more boo hahaha,0,0.0,0.464,Neutral,0.0002627372741699219
time warner cable is down again rd time since memorial day bummer,0,0.191,0.0,Neutral,0.0002460479736328125
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,0.065,0.152,Neutral,0.0002796649932861328
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0,0.313,0.0,Negativo,0.0002818107604980469
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0,0.343,0.0,Negativo,0.0003037452697753906
time warner has the worse customer service ever i will never use them again,0,0.205,0.0,Neutral,0.0002541542053222656
time warner is the devil worst possible time for the internet to go out,0,0.415,0.0,Negativo,0.0002541542053222656
fuck no internet damn time warner,0,0.737,0.0,Negativo,0.0001933574676513672
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,0,0.195,0.0,Neutral,0.0003230571746826172
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,0,0.127,0.291,Neutral,0.00040650367736816406
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0,0.115,0.207,Neutral,0.0003192424774169922
time warner s hd line up is crap,0,0.302,0.0,Neutral,0.00020170211791992188
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,0.315,0.0,Negativo,0.0002689361572265625
time warner cable slogan where calling it a day at pm happens,0,0.0,0.0,Positive,0.00020694732666015625
recovering from surgery wishing was here,0,0.0,0.275,Neutral,0.00019359588623046875
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,0.282,0.099,Neutral,0.00036025047302246094
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0,0.357,0.195,Neutral,0.0003299713134765625
my dentist is great but she s expensive,0,0.0,0.298,Neutral,0.0002014636993408203
is studing math tomorrow exam and dentist,1,0.0,0.0,Positive,0.00018024444580078125
my dentist was wrong wrong,0,0.674,0.0,Negativo,0.00018024444580078125
going to the dentist later,0,0.0,0.0,Positive,0.0001621246337890625
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0,0.117,0.184,Neutral,0.00031948089599609375
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,0.15,0.0,Neutral,0.0003006458282470703
safeway is very rock n roll tonight,1,0.0,0.0,Positive,0.000179290771484375
the safeway bathroom still smells like ass,0,0.318,0.227,Neutral,0.0002071857452392578
at safeway on elkhorn they move like they re dead,0,0.291,0.169,Neutral,0.0002148151397705078
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,1,0.1,0.388,Neutral,0.0002760887145996094
found nothing at nike factory off to banana republic outlet,0,0.0,0.0,Positive,0.00019741058349609375
is lovin his nike already and that s only from running on the spot in his bedroom,1,0.0,0.0,Positive,0.0002295970916748047
i finally got around to using jquery to make my bio collapse yay for slide animations,1,0.163,0.173,Neutral,0.00027370452880859375
right lol we ll get there i have high expectations warren buffet style,1,0.0,0.203,Neutral,0.00030803680419921875
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,1,0.0,0.194,Neutral,0.0002598762512207031
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,1,0.0,0.151,Neutral,0.0003523826599121094
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,1,0.0,0.254,Neutral,0.0002815723419189453
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,0.0,0.384,Neutral,0.0003142356872558594
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0,0.146,0.191,Neutral,0.0003452301025390625
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,0,0.227,0.131,Neutral,0.0002884864807128906
we tried but time warner wasn t being nice so we recorded today,0,0.0,0.252,Neutral,0.0002498626708984375
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,0,0.0,0.0,Positive,0.0002841949462890625
wth i have never seen a line this loooong at time warner before ugh,0,0.383,0.0,Negativo,0.0002422332763671875
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,0,0.123,0.146,Neutral,0.00028777122497558594
naive bayes using em for text classification really frustrating,0,0.431,0.0,Negativo,0.0002148151397705078
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,1,0.0,0.049,Neutral,0.0003178119659423828
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0,0.126,0.227,Neutral,0.0003123283386230469
just blocked united blood services using google voice they call more than those car warranty guys,0,0.111,0.148,Neutral,0.00025081634521484375
at amp t is complete fail,0,0.467,0.0,Negativo,0.00019049644470214844
oh snap you work at at amp t don t you,0,0.0,0.0,Positive,0.0001850128173828125
i really dont want at amp t phone service they suck when it comes to having a signal,0,0.253,0.0,Neutral,0.0002620220184326172
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,0,0.091,0.0,Neutral,0.0003197193145751953
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,0,0.171,0.053,Neutral,0.0002911090850830078
safari is fast even on my shitty at amp t tethering,0,0.286,0.0,Neutral,0.0002205371856689453
what is at amp t fucking up,0,0.0,0.0,Positive,0.0001780986785888672
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,0,0.366,0.123,Neutral,0.00028324127197265625
yay glad you got the phone still damn you at amp t,0,0.158,0.374,Neutral,0.00023174285888671875
talk is cheap bing that i ll stick with google,0,0.0,0.0,Positive,0.00020241737365722656
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0,0.127,0.173,Neutral,0.0003151893615722656
i love google translator too d good day mate,1,0.0,0.587,Neutral,0.00020313262939453125
reading on my new kindle,1,0.0,0.0,Positive,0.00020623207092285156
my kindle came and i love it,1,0.0,0.457,Neutral,0.0002048015594482422
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,1,0.045,0.328,Neutral,0.0003333091735839844
the real aig scandal,0,0.492,0.0,Negativo,0.00018024444580078125
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,1,0.0,0.512,Neutral,0.0002796649932861328
barack obama shows his funny side gt gt great speech,1,0.0,0.651,Neutral,0.00024580955505371094
i like this guy barack obama shows his funny side gt gt,1,0.0,0.578,Neutral,0.0002346038818359375
obama s speech was pretty awesome last night,1,0.0,0.593,Neutral,0.0002086162567138672
reading bill clinton fail obama win,1,0.31,0.336,Neutral,0.0002014636993408203
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,1,0.0,0.323,Neutral,0.0002579689025878906
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,1,0.0,0.326,Neutral,0.0003254413604736328
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,0,0.114,0.221,Neutral,0.00031280517578125
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1,0.0,0.167,Neutral,0.0002982616424560547
no lebron is the best,1,0.234,0.447,Neutral,0.00019550323486328125
lebron is cool i like his personality he has good character,1,0.0,0.524,Neutral,0.0002319812774658203
watching lebron highlights damn that niggas good,1,0.425,0.242,Neutral,0.0002124309539794922
lebron is murdering shit,1,0.798,0.0,Negativo,0.00017523765563964844
lebron is a monsta and he is only smh the world ain t ready,1,0.155,0.169,Neutral,0.0002338886260986328
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,1,0.0,0.307,Neutral,0.0003342628479003906
kobe is good bt lebron has my vote,1,0.0,0.293,Neutral,0.0002079010009765625
kobe is the best in the world not lebron,0,0.0,0.344,Neutral,0.0003147125244140625
world cup access damn that s a good look,1,0.255,0.274,Neutral,0.00020933151245117188
just bought my tickets for the fifa world cup in south africa its going to be a great summer,1,0.0,0.194,Neutral,0.00034046173095703125
i have to go to booz allen hamilton for a hr meeting but then i get to go home,0,0.0,0.0,Positive,0.0002396106719970703
the great indian tamasha truly will unfold from may the result day for indian general election,1,0.0,0.333,Neutral,0.00034165382385253906
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,1,0.092,0.212,Neutral,0.00027489662170410156
such an awesome idea the continual learning program with a kindle,1,0.0,0.313,Neutral,0.00021123886108398438
ooooh what model are you getting i have the d and love love love love it,1,0.0,0.627,Neutral,0.00024890899658203125
the times of india the wonder that is india s election,1,0.0,0.0,Positive,0.00018310546875
good video from google on using search options,1,0.0,0.293,Neutral,0.0001957416534423828
lol ah my skin is itchy damn lawnmowing,0,0.381,0.222,Neutral,0.0002257823944091797
itchy back dont ya hate it,0,0.231,0.33,Neutral,0.0001938343048095703
stanford charity fashion show a top draw,1,0.0,0.535,Neutral,0.00018787384033203125
stanford university s facebook profile is one of the most popular official university pages,1,0.0,0.205,Neutral,0.0002346038818359375
lyx is cool,1,0.0,0.535,Neutral,0.00016307830810546875
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,1,0.0,0.293,Neutral,0.00025773048400878906
rt american idol fashion adam lambert tones down danny gokey cute,1,0.0,0.231,Neutral,0.00022077560424804688
i love you danny gokey,1,0.0,0.583,Neutral,0.00016736984252929688
so tired i didn t sleep well at all last night,0,0.26,0.171,Neutral,0.00020837783813476562
boarding plane for san francisco in hour hr flight blech,0,0.0,0.0,Positive,0.0001938343048095703
bonjour san francisco my back hurts from last night,0,0.279,0.0,Neutral,0.00021028518676757812
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,1,0.0,0.397,Neutral,0.00024700164794921875
f up big or go home aig,0,0.0,0.0,Positive,0.0001685619354248047
went to see the star trek movie last night very satisfying,1,0.0,0.248,Neutral,0.00022339820861816406
i can t wait going to see star trek tonight,1,0.0,0.0,Positive,0.00017905235290527344
star trek was as good as everyone said,1,0.0,0.293,Neutral,0.0001964569091796875
am loving new malcolm gladwell book outliers,1,0.0,0.394,Neutral,0.00019025802612304688
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,1,0.0,0.234,Neutral,0.0002696514129638672
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,0,0.229,0.07,Neutral,0.0002589225769042969
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,0,0.38,0.135,Neutral,0.0003082752227783203
rt great article by malcolm gladwell,1,0.0,0.451,Neutral,0.00018525123596191406
i seriously underestimated malcolm gladwell i want to meet this dude,1,0.342,0.117,Neutral,0.00020456314086914062
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,0,0.198,0.0,Neutral,0.000244140625
comcast sucks,0,0.714,0.0,Negativo,0.000148773193359375
the day i never have to deal with comcast again will rank as one of the best days of my life,0,0.0,0.181,Neutral,0.0002655982971191406
did comcast fail again,0,0.538,0.0,Negativo,0.00016188621520996094
curses the twitter api limit,0,0.0,0.0,Positive,0.0001590251922607422
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,0,0.231,0.0,Neutral,0.0002694129943847656
arg twitter api is making me crazy,0,0.286,0.0,Neutral,0.00019240379333496094
i m really loving the new search site wolfram alpha makes google seem so quaint,1,0.0,0.259,Neutral,0.00022912025451660156
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0,0.227,0.0,Neutral,0.00029850006103515625
off to the nike factory,1,0.0,0.0,Positive,0.00016880035400390625
new nike muppet commercials are pretty cute why do we live together again,1,0.0,0.36,Neutral,0.0002548694610595703
oh those are awesome i so wish they weren t owned by nike,0,0.0,0.458,Neutral,0.00023245811462402344
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,1,0.0,0.227,Neutral,0.00023126602172851562
arhh it s weka bug and i spent almost two hours to find that out crappy me,0,0.205,0.0,Neutral,0.00025582313537597656
hey bud np i do so love my d although i d love a d mkii more,1,0.0,0.587,Neutral,0.0002808570861816406
just got us a d for the office d,1,0.0,0.0,Positive,0.00017309188842773438
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,1,0.082,0.386,Neutral,0.0002727508544921875
just got my new toy canon d love love love it,1,0.0,0.643,Neutral,0.00023889541625976562
learning about lambda calculus,1,0.0,0.0,Positive,0.00015735626220703125
i m moving to east palo alto,1,0.0,0.0,Positive,0.0001633167266845703
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,1,0.0,0.187,Neutral,0.000244140625
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,1,0.0,0.225,Neutral,0.00028586387634277344
lakers tonight let s go,1,0.0,0.0,Positive,0.0001533031463623047
will the lakers kick the nuggets ass tonight,1,0.333,0.0,Negativo,0.00019431114196777344
oooooooh north korea is in troubleeeee,0,0.0,0.0,Positive,0.0001747608184814453
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,0,0.0,0.157,Neutral,0.0002551078796386719
listening to obama friggin north korea,0,0.0,0.0,Positive,0.0001678466796875
i just realized we three monkeys in the white obama biden pelosi sarah palin,0,0.0,0.0,Positive,0.00021386146545410156
pelosi should stay in china and never come back,0,0.0,0.0,Positive,0.00018668174743652344
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,0,0.319,0.125,Neutral,0.0002663135528564453
ugh the amount of times these stupid insects have bitten me grr,0,0.383,0.0,Negativo,0.00023221969604492188
prettiest insects ever pink katydids,1,0.0,0.481,Neutral,0.00017333030700683594
just got barraged by a horde of insects hungry for my kitchen light so scary,0,0.24,0.0,Neutral,0.0002422332763671875
just had mcdonalds for dinner d it was goooood big mac meal,1,0.0,0.0,Positive,0.0002067089080810547
ahh yes lol ima tell my hubby to go get me sum mcdonalds,1,0.0,0.333,Neutral,0.00023889541625976562
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,1,0.192,0.0,Neutral,0.0001990795135498047
could go for a lot of mcdonalds i mean a lot,1,0.0,0.0,Positive,0.00017404556274414062
my exam went good your prayers worked,1,0.0,0.326,Neutral,0.000217437744140625
only one exam left and i am so happy for it d,1,0.0,0.345,Neutral,0.00021314620971679688
math review im going to fail the exam,0,0.333,0.0,Negativo,0.00020051002502441406
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,0,0.134,0.198,Neutral,0.0003294944763183594
obviously not siding with cheney here,0,0.0,0.0,Positive,0.0001685619354248047
absolutely hilarious from,1,0.0,0.599,Neutral,0.0001583099365234375
i never did thank you for including me in your top twitter authors you rock amp i new wave d,1,0.112,0.095,Neutral,0.0002741813659667969
rt awesome jquery reference book for coda webdesign,1,0.0,0.369,Neutral,0.00019550323486328125
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,1,0.085,0.238,Neutral,0.00029540061950683594
goodby silverstein s new site i enjoy it,1,0.0,0.39,Neutral,0.00019121170043945312
wow everyone at the google i o conference got free g s with a month of unlimited service,1,0.0,0.392,Neutral,0.00024008750915527344
dood i got a free google android phone at the i o conference the g,1,0.0,0.268,Neutral,0.00020456314086914062
the g is amazing btw a huge improvement over the g,1,0.0,0.645,Neutral,0.000202178955078125
html demos lots of great stuff to come yes i m excited io googleio,1,0.0,0.505,Neutral,0.0002512931823730469
yay happy place place place i love google,1,0.0,0.739,Neutral,0.0001857280731201172
googleio o d bringing d graphics to the browser very nice tbh funfun,1,0.0,0.256,Neutral,0.0002155303955078125
awesome viral marketing for funny people,1,0.0,0.636,Neutral,0.00019168853759765625
saw night at the museum out of sheer desperation who is funding these movies,0,0.188,0.0,Neutral,0.00024127960205078125
night at the museum pretty furkin good,1,0.0,0.55,Neutral,0.00020122528076171875
watching night at the museum giggling,1,0.0,0.333,Neutral,0.00018835067749023438
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,0,0.0,0.107,Neutral,0.0002522468566894531
just watched night at the museum so stinkin cute,1,0.0,0.291,Neutral,0.00020384788513183594
so night at the museum was awesome much better than part next weekend we ll see up,1,0.0,0.318,Neutral,0.00026726722717285156
saw the new night at the museum and i loved it next is to go see up in d,1,0.0,0.196,Neutral,0.00024890899658203125
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,0,0.217,0.0,Neutral,0.0003094673156738281
as u may have noticed not too happy about the gm situation nor aig lehman et al,0,0.167,0.0,Neutral,0.0002529621124267578
gm good riddance sad though,0,0.344,0.322,Neutral,0.00017976760864257812
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,0,0.0,0.0,Positive,0.000225067138671875
having the old coca cola guy on the gm board is stupid has heck tcot ala,0,0.185,0.0,Neutral,0.0002455711364746094
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,0,0.211,0.17,Neutral,0.00023603439331054688
